Save: 48, Episode: 278/10000, Score: 2985.7316981668055, Epsilon: 0.9872316400002772, Play_time: 90, Spawn distance: 51.952450684907966
Save: 49, Episode: 279/10000, Score: 1216.9715387438716, Epsilon: 0.9870824800002804, Play_time: 453, Spawn distance: 49.426981794981614
Save: 50, Episode: 280/10000, Score: 4216.103600990232, Epsilon: 0.9869333200002837, Play_time: 453, Spawn distance: 75.80120577682322
Save: 51, Episode: 281/10000, Score: 4598.787437719904, Epsilon: 0.9868409200002857, Play_time: 281, Spawn distance: 58.52892780378186
Save: 52, Episode: 282/10000, Score: 1014.5381236555032, Epsilon: 0.9866917600002889, Play_time: 453, Spawn distance: 50.81404344717821
Save: 53, Episode: 285/10000, Score: 3984.3670917619766, Epsilon: 0.9863842000002956, Play_time: 453, Spawn distance: 71.37770803715698
Save: 54, Episode: 286/10000, Score: 4615.540369827362, Epsilon: 0.9862350400002988, Play_time: 453, Spawn distance: 62.06941107465966
Save: 55, Episode: 293/10000, Score: 7810.609955284753, Epsilon: 0.9854971600003148, Play_time: 453, Spawn distance: 90.29903300048987
Save: 56, Episode: 294/10000, Score: 4013.8758736497457, Epsilon: 0.9853625200003178, Play_time: 408, Spawn distance: 49.357343908098855
Save: 57, Episode: 296/10000, Score: 5009.7087240822975, Epsilon: 0.9850642000003242, Play_time: 453, Spawn distance: 72.38810972473138
Save: 58, Episode: 297/10000, Score: 8612.309509823566, Epsilon: 0.9849150400003275, Play_time: 453, Spawn distance: 76.84331385306683
Save: 59, Episode: 301/10000, Score: 2536.0016803412727, Epsilon: 0.9844002400003387, Play_time: 204, Spawn distance: 55.55431074495365
Save: 60, Episode: 302/10000, Score: 3369.8392889127795, Epsilon: 0.9843065200003407, Play_time: 282, Spawn distance: 61.02808507591383
Save: 61, Episode: 310/10000, Score: 2793.6916497281886, Epsilon: 0.9833191600003621, Play_time: 356, Spawn distance: 75.34849183371446
Save: 62, Episode: 311/10000, Score: 4016.0858070920267, Epsilon: 0.9831700000003654, Play_time: 453, Spawn distance: 61.723832086780995
Save: 63, Episode: 312/10000, Score: 2165.658946480775, Epsilon: 0.9830538400003679, Play_time: 353, Spawn distance: 94.91426720422373
Save: 64, Episode: 313/10000, Score: 1793.1916715207333, Epsilon: 0.9829046800003711, Play_time: 453, Spawn distance: 80.79691295681741
Save: 65, Episode: 314/10000, Score: 4614.690205916041, Epsilon: 0.9827555200003744, Play_time: 453, Spawn distance: 65.26351193826427
Save: 66, Episode: 320/10000, Score: 3855.606579966503, Epsilon: 0.98203744000039, Play_time: 133, Spawn distance: 55.134513346554904
Save: 67, Episode: 322/10000, Score: 7177.485699398165, Epsilon: 0.9819292000003923, Play_time: 301, Spawn distance: 64.06239734428443
Save: 68, Episode: 323/10000, Score: 1000.0, Epsilon: 0.9819226000003924, Play_time: 21, Spawn distance: 46.94159262136783
Save: 69, Episode: 325/10000, Score: 1616.7786049836197, Epsilon: 0.9817628800003959, Play_time: 453, Spawn distance: 73.23093196522335
Save: 70, Episode: 328/10000, Score: 4726.68373327736, Epsilon: 0.9813154000004056, Play_time: 453, Spawn distance: 52.227079252920724
Save: 71, Episode: 330/10000, Score: 2414.8294389034054, Epsilon: 0.9810170800004121, Play_time: 453, Spawn distance: 101.6814589637928
Save: 72, Episode: 332/10000, Score: 5591.119202285114, Epsilon: 0.9808481200004158, Play_time: 453, Spawn distance: 69.94488057731486
Save: 73, Episode: 335/10000, Score: 771.7873008321104, Epsilon: 0.9804468400004245, Play_time: 453, Spawn distance: 68.931317793487
Save: 74, Episode: 337/10000, Score: 5542.364962988712, Epsilon: 0.9801986800004299, Play_time: 301, Spawn distance: 66.99147172310641
Save: 75, Episode: 338/10000, Score: 3359.7444807979787, Epsilon: 0.9801617200004307, Play_time: 113, Spawn distance: 55.538954835455
Save: 76, Episode: 339/10000, Score: 4262.994672928186, Epsilon: 0.9800838400004324, Play_time: 237, Spawn distance: 55.26483908914369
Save: 77, Episode: 341/10000, Score: 9708.959560334237, Epsilon: 0.9799241200004358, Play_time: 453, Spawn distance: 81.29141209828788
Save: 78, Episode: 342/10000, Score: 5365.175424714375, Epsilon: 0.9798383200004377, Play_time: 258, Spawn distance: 61.549588072435824
Save: 79, Episode: 343/10000, Score: 2802.945063125831, Epsilon: 0.9797974000004386, Play_time: 125, Spawn distance: 75.75895982160917
Save: 80, Episode: 344/10000, Score: 936.4561829259918, Epsilon: 0.9796495600004418, Play_time: 447, Spawn distance: 86.53679535969918
Save: 81, Episode: 345/10000, Score: 2999.1193292381286, Epsilon: 0.979500400000445, Play_time: 453, Spawn distance: 62.39467699088451
Save: 82, Episode: 351/10000, Score: 957.8166387600368, Epsilon: 0.9788404000004594, Play_time: 210, Spawn distance: 88.67583456462161
Save: 83, Episode: 352/10000, Score: 4781.947690223416, Epsilon: 0.9787612000004611, Play_time: 240, Spawn distance: 48.61975481689288
Save: 84, Episode: 363/10000, Score: 617.2210946890089, Epsilon: 0.9776444800004853, Play_time: 405, Spawn distance: 51.00259572931554
Save: 85, Episode: 367/10000, Score: 1786.8624390805035, Epsilon: 0.9773026000004927, Play_time: 453, Spawn distance: 72.72341567051659
Save: 86, Episode: 369/10000, Score: 6232.758168904949, Epsilon: 0.9770808400004976, Play_time: 219, Spawn distance: 48.63557724544452
Save: 87, Episode: 372/10000, Score: 5943.853712570854, Epsilon: 0.9767904400005039, Play_time: 411, Spawn distance: 64.75870944300972
Save: 88, Episode: 374/10000, Score: 3214.6117497002133, Epsilon: 0.9766267600005074, Play_time: 453, Spawn distance: 72.19160599363651
Save: 89, Episode: 377/10000, Score: 1825.6039660966114, Epsilon: 0.9764353600005116, Play_time: 397, Spawn distance: 86.20697061309714
Save: 90, Episode: 380/10000, Score: 6241.694247733231, Epsilon: 0.9760829200005192, Play_time: 163, Spawn distance: 46.90829348139292
Save: 91, Episode: 382/10000, Score: 3605.0152253151327, Epsilon: 0.9759403600005223, Play_time: 401, Spawn distance: 87.63951016552386
Save: 92, Episode: 386/10000, Score: 3088.80455889325, Epsilon: 0.9755681200005304, Play_time: 123, Spawn distance: 57.467466458851526
Save: 93, Episode: 388/10000, Score: 1217.9641451879882, Epsilon: 0.9753371200005354, Play_time: 453, Spawn distance: 48.03737326926067
Save: 94, Episode: 389/10000, Score: 2763.6007037458176, Epsilon: 0.9751879600005386, Play_time: 453, Spawn distance: 74.09886139032119
Save: 95, Episode: 390/10000, Score: 2200.8976555095587, Epsilon: 0.9751655200005391, Play_time: 69, Spawn distance: 70.97464979136103
Save: 96, Episode: 392/10000, Score: 1608.1274560107329, Epsilon: 0.9749332000005442, Play_time: 252, Spawn distance: 53.08322976428798
Save: 97, Episode: 393/10000, Score: 1812.4261612326259, Epsilon: 0.9747840400005474, Play_time: 453, Spawn distance: 60.76278172115319
Save: 98, Episode: 395/10000, Score: 7414.282828840847, Epsilon: 0.9744857200005539, Play_time: 453, Spawn distance: 48.256302911602674
Save: 99, Episode: 396/10000, Score: 1004.7231859282102, Epsilon: 0.9744434800005548, Play_time: 128, Spawn distance: 50.743653955997225
Save: 100, Episode: 400/10000, Score: 9180.23794539189, Epsilon: 0.9739801600005649, Play_time: 453, Spawn distance: 81.98845271510599
Save: 101, Episode: 401/10000, Score: 1614.5277240072605, Epsilon: 0.9738310000005681, Play_time: 453, Spawn distance: 60.082662147263626
Save: 102, Episode: 402/10000, Score: 813.3748347192391, Epsilon: 0.9736818400005713, Play_time: 453, Spawn distance: 61.18710360458413
Save: 103, Episode: 403/10000, Score: 1415.8580823140878, Epsilon: 0.9735326800005746, Play_time: 453, Spawn distance: 52.46107278898197
Save: 104, Episode: 405/10000, Score: 6931.460131576716, Epsilon: 0.9733016800005796, Play_time: 246, Spawn distance: 67.70551645277475
Save: 105, Episode: 407/10000, Score: 7209.160823740114, Epsilon: 0.9730033600005861, Play_time: 453, Spawn distance: 49.228701859054205
Save: 106, Episode: 412/10000, Score: 7149.56185271052, Epsilon: 0.9725387200005962, Play_time: 354, Spawn distance: 79.90279258547598
Save: 107, Episode: 414/10000, Score: 1000.0, Epsilon: 0.9723829600005995, Play_time: 21, Spawn distance: 48.390777005624805
Save: 108, Episode: 418/10000, Score: 3813.866100472668, Epsilon: 0.9717863200006125, Play_time: 453, Spawn distance: 59.6987929678596
